test,source,smoothed,eta,sampling_cap,phase,policy,additional_stations_b,metric,events,median_delta,min_delta,max_delta,events_lower,events_higher
SKS02,SKS03,0,0.5,120,shaking,boundary_retained,4,profile_nrmse,6,-0.058298302490580475,-0.09474938839349697,-0.04037327341016728,6,0
SKS02,SKS03,0,0.5,120,shaking,original,2,peak_depth_error,6,0.21428571428571425,-0.14285714285714285,0.39999999999999747,2,4
SKS02,SKS03,0,0.5,120,shaking,original,2,peak_load_error,6,-0.14094178830440723,-0.20388871127295025,-0.10762856923780496,6,0
SKS02,SKS03,0,0.5,120,shaking,original,2,profile_nrmse,6,0.023315303262362135,-0.04986322194706347,0.053863656790048495,2,4
SKS02,SKS03,0,0.5,120,shaking,original,3,peak_depth_error,6,0.1071428571428571,0.0714285714285714,0.4285714285714285,0,6
SKS02,SKS03,0,0.5,120,shaking,original,3,peak_load_error,6,0.021225926397733193,-0.0068723962672914835,0.06650388344247284,1,5
SKS02,SKS03,0,0.5,120,shaking,original,3,profile_nrmse,6,-0.009650264226766625,-0.027046357733588516,-0.0011368766118742407,6,0
SKS02,SKS03,0,0.5,120,shaking,original,4,peak_depth_error,6,-0.4642857142857143,-0.7142857142857142,-0.35714285714285715,6,0
SKS02,SKS03,0,0.5,120,shaking,original,4,peak_load_error,6,-0.32086091741907297,-0.3719609588753725,-0.27856282077001454,6,0
SKS02,SKS03,0,0.5,120,shaking,original,4,profile_nrmse,6,-0.058298302490580475,-0.09474938839349697,-0.04037327341016728,6,0
SKS02,SKS03,0,0.5,240,after_decay,boundary_retained,2,peak_depth_error,5,0.21428571428571425,-0.0714285714285714,0.28571428571428564,1,4
SKS02,SKS03,0,0.5,240,after_decay,boundary_retained,2,peak_load_error,5,-0.0231791448335322,-0.09181968012350937,0.0053710125695621,4,1
SKS02,SKS03,0,0.5,240,after_decay,boundary_retained,2,profile_nrmse,5,-0.004040919160662598,-0.033395626301218756,0.0050274545832865725,3,2
SKS02,SKS03,0,0.5,240,after_decay,boundary_retained,3,peak_depth_error,5,0.0714285714285714,0.0,0.0714285714285714,0,4
SKS02,SKS03,0,0.5,240,after_decay,boundary_retained,3,peak_load_error,5,0.03772271000177177,-0.0011491606578407643,0.07607556743596121,1,4
SKS02,SKS03,0,0.5,240,after_decay,boundary_retained,3,profile_nrmse,5,-0.0005499835777737841,-0.011911264197244142,0.008072713224277453,3,2
SKS02,SKS03,0,0.5,240,after_decay,boundary_retained,4,peak_depth_error,5,-0.35714285714285715,-0.35714285714285715,-0.2142857142857143,5,0
SKS02,SKS03,0,0.5,240,after_decay,boundary_retained,4,peak_load_error,5,-0.30389405063643793,-0.33636602875641086,-0.2705980233088948,5,0
SKS02,SKS03,0,0.5,240,after_decay,boundary_retained,4,profile_nrmse,5,-0.05943315704597188,-0.08656447380185675,-0.03227942870550674,5,0
SKS02,SKS03,0,0.5,240,after_decay,original,2,peak_depth_error,5,0.21428571428571425,0.14285714285714285,0.28571428571428564,0,5
SKS02,SKS03,0,0.5,240,after_decay,original,2,peak_load_error,5,-0.08439288966442818,-0.18357405275894934,-0.036934473908775245,5,0
SKS02,SKS03,0,0.5,240,after_decay,original,2,profile_nrmse,5,0.012160127303143684,-0.0422607268990592,0.044794138736414066,2,3
SKS02,SKS03,0,0.5,240,after_decay,original,3,peak_depth_error,5,0.0714285714285714,0.0,0.0714285714285714,0,4
SKS02,SKS03,0,0.5,240,after_decay,original,3,peak_load_error,5,0.03772271000177177,-0.0011491606578407643,0.07607556743596121,1,4
SKS02,SKS03,0,0.5,240,after_decay,original,3,profile_nrmse,5,-0.0005499835777737841,-0.011911264197244142,0.008072713224277453,3,2
