pile,stage,reference_pitch_m,boundary_rule,interpolator,layout_source,additional_stations_b,total_retained,reference_levels,measured_span_m,head_to_dfos_gap_m,candidate_realised_z,uniform_realised_z,candidate_nrmse,uniform_nrmse,delta_nrmse,delta_distance_weighted_nrmse,candidate_outside_sse_fraction,delta_squared_error_inside,delta_squared_error_outside
T2,Step 4,0.4,boundary_constrained,pchip,SKS02,2,3,44,19.8765,3.0964999999999994,0.000000;0.155787;1.000000,0.000000;0.497900;1.000000,0.07927425290380667,0.025918704781052956,0.05335554812275371,0.04831317204475133,0.0,0.005612627915929323,0.0
T2,Step 5,0.4,boundary_constrained,pchip,SKS02,2,3,44,19.8765,3.0964999999999994,0.000000;0.155787;1.000000,0.000000;0.497900;1.000000,0.07630725198675409,0.023614439566147182,0.0526928124206069,0.04745240434959877,0.0,0.0052651549497467675,0.0
T2,Step 6,0.4,boundary_constrained,pchip,SKS02,2,3,44,19.8765,3.0964999999999994,0.000000;0.155787;1.000000,0.000000;0.497900;1.000000,0.08648837197683676,0.029290614754222597,0.057197757222614165,0.0516390171973305,0.0,0.0066222983745234006,0.0
T2,Step 7,0.4,boundary_constrained,pchip,SKS02,2,3,44,19.8765,3.0964999999999994,0.000000;0.155787;1.000000,0.000000;0.497900;1.000000,0.09449979848424432,0.03531845949489632,0.059181338989348,0.05347189060694596,0.0,0.007682818332470153,0.0
T2,Step 8,0.4,boundary_constrained,pchip,SKS02,2,3,44,19.8765,3.0964999999999994,0.000000;0.155787;1.000000,0.000000;0.497900;1.000000,0.08964960598884994,0.035527105721467916,0.05412250026738202,0.049115111624547576,0.0,0.006774876613011681,0.0
T2,Step 1,0.4,boundary_constrained,linear,SKS02,3,4,44,19.8765,3.0964999999999994,0.000000;0.155787;0.437527;1.000000,0.000000;0.336905;0.658894;1.000000,0.038792264364057354,0.03481649600868677,0.003975768355370585,0.0029415379933689714,0.0,0.0002926513801680124,0.0
T2,Step 2,0.4,boundary_constrained,linear,SKS02,3,4,44,19.8765,3.0964999999999994,0.000000;0.155787;0.437527;1.000000,0.000000;0.336905;0.658894;1.000000,0.050561058614654604,0.03411032509819548,0.01645073351645912,0.014248730045054878,0.0,0.0013929063699299536,0.0
T2,Step 3,0.4,boundary_constrained,linear,SKS02,3,4,44,19.8765,3.0964999999999994,0.000000;0.155787;0.437527;1.000000,0.000000;0.336905;0.658894;1.000000,0.04830848667018878,0.03325187511305241,0.01505661155713637,0.01306324857400569,0.0,0.0012280226858297728,0.0
T2,Step 4,0.4,boundary_constrained,linear,SKS02,3,4,44,19.8765,3.0964999999999994,0.000000;0.155787;0.437527;1.000000,0.000000;0.336905;0.658894;1.000000,0.05379987700396166,0.030134694965424133,0.023665182038537527,0.022064372328594355,0.0,0.001986326924982244,0.0
T2,Step 5,0.4,boundary_constrained,linear,SKS02,3,4,44,19.8765,3.0964999999999994,0.000000;0.155787;0.437527;1.000000,0.000000;0.336905;0.658894;1.000000,0.05674089878678709,0.03100746406339938,0.02573343472338771,0.02396608741284051,0.0,0.0022580667674894127,0.0
T2,Step 6,0.4,boundary_constrained,linear,SKS02,3,4,44,19.8765,3.0964999999999994,0.000000;0.155787;0.437527;1.000000,0.000000;0.336905;0.658894;1.000000,0.06214407274891789,0.03582910781732036,0.026314964931597525,0.024357806933161995,0.0,0.0025781608108376318,0.0
T2,Step 7,0.4,boundary_constrained,linear,SKS02,3,4,44,19.8765,3.0964999999999994,0.000000;0.155787;0.437527;1.000000,0.000000;0.336905;0.658894;1.000000,0.06605918292674011,0.03867600640443705,0.027383176522303057,0.02512405223072297,0.0,0.0028679821775524565,0.0
T2,Step 8,0.4,boundary_constrained,linear,SKS02,3,4,44,19.8765,3.0964999999999994,0.000000;0.155787;0.437527;1.000000,0.000000;0.336905;0.658894;1.000000,0.06061513822680538,0.03629261360722973,0.024322524619575646,0.022172495004840108,0.0,0.0023570411798110457,0.0
T2,Step 1,0.4,boundary_constrained,pchip,SKS02,3,4,44,19.8765,3.0964999999999994,0.000000;0.155787;0.437527;1.000000,0.000000;0.336905;0.658894;1.000000,0.03219405642820685,0.033299021922380975,-0.0011049654941741247,-0.00147360685899001,0.0,-7.236759168464204e-05,0.0
T2,Step 2,0.4,boundary_constrained,pchip,SKS02,3,4,44,19.8765,3.0964999999999994,0.000000;0.155787;0.437527;1.000000,0.000000;0.336905;0.658894;1.000000,0.020600621818787714,0.024184969174301713,-0.0035843473555139983,-0.006062118870826843,0.0,-0.00016052711464121158,0.0
T2,Step 3,0.4,boundary_constrained,pchip,SKS02,3,4,44,19.8765,3.0964999999999994,0.000000;0.155787;0.437527;1.000000,0.000000;0.336905;0.658894;1.000000,0.022372406077074712,0.02157167372446517,0.0008007323526095407,-0.0017368138353329489,0.0,3.518744640274831e-05,0.0
T2,Step 4,0.4,boundary_constrained,pchip,SKS02,3,4,44,19.8765,3.0964999999999994,0.000000;0.155787;0.437527;1.000000,0.000000;0.336905;0.658894;1.000000,0.02105152423075464,0.018363289214126853,0.0026882350166277866,0.0017413842705282095,0.0,0.00010595628167638212,0.0
T2,Step 5,0.4,boundary_constrained,pchip,SKS02,3,4,44,19.8765,3.0964999999999994,0.000000;0.155787;0.437527;1.000000,0.000000;0.336905;0.658894;1.000000,0.023635547796240747,0.01880139485492133,0.004834152941319416,0.0034337127188420608,0.0,0.00020514667113771855,0.0
T2,Step 6,0.4,boundary_constrained,pchip,SKS02,3,4,44,19.8765,3.0964999999999994,0.000000;0.155787;0.437527;1.000000,0.000000;0.336905;0.658894;1.000000,0.0300103735933519,0.023472348390562496,0.006538025202789403,0.004860907035866075,0.0,0.0003496713842446113,0.0
T2,Step 7,0.4,boundary_constrained,pchip,SKS02,3,4,44,19.8765,3.0964999999999994,0.000000;0.155787;0.437527;1.000000,0.000000;0.336905;0.658894;1.000000,0.037274377518895875,0.027454536239382158,0.009819841279513717,0.007724732159313838,0.0,0.000635627659301622,0.0
T2,Step 8,0.4,boundary_constrained,pchip,SKS02,3,4,44,19.8765,3.0964999999999994,0.000000;0.155787;0.437527;1.000000,0.000000;0.336905;0.658894;1.000000,0.035951737199420825,0.027267458221638848,0.008684278977781977,0.006654665554769769,0.0,0.0005490131297873989,0.0
T2,Step 1,0.4,boundary_constrained,linear,SKS02,4,5,44,19.8765,3.0964999999999994,0.000000;0.155787;0.719266;0.860136;1.000000,0.000000;0.256408;0.497900;0.759515;1.000000,0.031219091330710626,0.02928084856281414,0.0019382427678964857,1.2989933689463995e-07,0.0,0.00011726357095679639,0.0
