source,case,depth,depth_unit,load_unit,load,digitisation_replicates,digitisation_range,quality_class,normalised_depth,figure_image,physical_depth,digitisation_kind,marker_colour,digitised_pixel_x_sd,digitised_pixels
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,177.85303514376997,,,,0.64,fhwa_p10.png,6.207999999999999,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,176.8370607028754,,,,0.6499999999999999,fhwa_p10.png,6.304999999999999,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,176.10383386581472,,,,0.66,fhwa_p10.png,6.402,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,175.1453674121406,,,,0.6699999999999999,fhwa_p10.png,6.498999999999999,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,174.9036969420356,,,,0.6799999999999998,fhwa_p10.png,6.595999999999997,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,173.57601954519825,,,,0.6900000000000001,fhwa_p10.png,6.6930000000000005,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,171.63878970118398,,,,0.7,fhwa_p10.png,6.789999999999999,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,170.12779552715654,,,,0.7099999999999999,fhwa_p10.png,6.886999999999998,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,168.21537305017853,,,,0.72,fhwa_p10.png,6.983999999999999,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,166.29392971246006,,,,0.7299999999999999,fhwa_p10.png,7.080999999999999,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,164.6980830670927,,,,0.7399999999999999,fhwa_p10.png,7.177999999999998,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,163.29073482428115,,,,0.75,fhwa_p10.png,7.2749999999999995,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,161.0952076677316,,,,0.7600000000000001,fhwa_p10.png,7.372000000000001,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,159.5846645367412,,,,0.7699999999999998,fhwa_p10.png,7.468999999999998,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,157.9808306709265,,,,0.78,fhwa_p10.png,7.566,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,156.323482428115,,,,0.7900000000000001,fhwa_p10.png,7.663000000000001,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,154.348410963511,,,,0.8,fhwa_p10.png,7.76,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,152.6151000504456,,,,0.8099999999999999,fhwa_p10.png,7.856999999999998,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,150.86741214057506,,,,0.8200000000000002,fhwa_p10.png,7.9540000000000015,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,149.28833865814696,,,,0.8300000000000001,fhwa_p10.png,8.051,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,147.12460063897763,,,,0.84,fhwa_p10.png,8.148,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,145.0686900958466,,,,0.8500000000000001,fhwa_p10.png,8.245000000000001,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,142.67731629392975,,,,0.86,fhwa_p10.png,8.341999999999999,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,140.4153354632588,,,,0.8699999999999999,fhwa_p10.png,8.438999999999998,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,138.49840255591053,,,,0.8800000000000001,fhwa_p10.png,8.536000000000001,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,135.74041533546327,,,,0.89,fhwa_p10.png,8.633,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,133.43051118210866,,,,0.8999999999999999,fhwa_p10.png,8.729999999999999,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,130.83067092651757,,,,0.91,fhwa_p10.png,8.827,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,128.7001369237791,,,,0.9199999999999999,fhwa_p10.png,8.924,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,126.10063897763582,,,,0.9299999999999998,fhwa_p10.png,9.020999999999997,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,123.90095846645364,,,,0.9400000000000001,fhwa_p10.png,9.118,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,121.03514376996807,,,,0.95,fhwa_p10.png,9.214999999999998,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,119.32907348242811,,,,0.9599999999999999,fhwa_p10.png,9.311999999999998,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,116.83806961493188,,,,0.97,fhwa_p10.png,9.408999999999999,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,114.2381032453338,,,,0.9799999999999999,fhwa_p10.png,9.505999999999998,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,112.61980830670926,,,,0.9899999999999999,fhwa_p10.png,9.602999999999998,published measured trace,,,
FHWA-HRT-17-060,Christchurch 12-m CFA pile post-blast,,m,kips,112.61980830670926,,,,1.0,fhwa_p10.png,9.7,published measured trace,,,
FHWA-HRT-17-060,Christchurch 14-m CFA pile post-blast,,m,kips,262.78713629402756,,,,0.0,fhwa_p10.png,0.0,published measured trace,,,
FHWA-HRT-17-060,Christchurch 14-m CFA pile post-blast,,m,kips,261.8660030627871,,,,0.009999999999999993,fhwa_p10.png,0.12499999999999992,published measured trace,,,
FHWA-HRT-17-060,Christchurch 14-m CFA pile post-blast,,m,kips,263.25574272588057,,,,0.019999999999999987,fhwa_p10.png,0.24999999999999983,published measured trace,,,
FHWA-HRT-17-060,Christchurch 14-m CFA pile post-blast,,m,kips,265.3277182235835,,,,0.029999999999999978,fhwa_p10.png,0.3749999999999997,published measured trace,,,
FHWA-HRT-17-060,Christchurch 14-m CFA pile post-blast,,m,kips,267.62021439509954,,,,0.03999999999999997,fhwa_p10.png,0.49999999999999967,published measured trace,,,
FHWA-HRT-17-060,Christchurch 14-m CFA pile post-blast,,m,kips,269.4601837672282,,,,0.04999999999999996,fhwa_p10.png,0.6249999999999996,published measured trace,,,
FHWA-HRT-17-060,Christchurch 14-m CFA pile post-blast,,m,kips,271.51607963246556,,,,0.059999999999999956,fhwa_p10.png,0.7499999999999994,published measured trace,,,
FHWA-HRT-17-060,Christchurch 14-m CFA pile post-blast,,m,kips,273.5995405819295,,,,0.06999999999999995,fhwa_p10.png,0.8749999999999993,published measured trace,,,
FHWA-HRT-17-060,Christchurch 14-m CFA pile post-blast,,m,kips,275.2281776416539,,,,0.08000000000000003,fhwa_p10.png,1.0000000000000004,published measured trace,,,
FHWA-HRT-17-060,Christchurch 14-m CFA pile post-blast,,m,kips,277.738897396631,,,,0.09000000000000002,fhwa_p10.png,1.1250000000000002,published measured trace,,,
FHWA-HRT-17-060,Christchurch 14-m CFA pile post-blast,,m,kips,275.6049004594181,,,,0.10000000000000002,fhwa_p10.png,1.2500000000000002,published measured trace,,,
FHWA-HRT-17-060,Christchurch 14-m CFA pile post-blast,,m,kips,269.3577718223583,,,,0.11000000000000001,fhwa_p10.png,1.3750000000000002,published measured trace,,,
FHWA-HRT-17-060,Christchurch 14-m CFA pile post-blast,,m,kips,263.9081163859112,,,,0.12000000000000001,fhwa_p10.png,1.5000000000000002,published measured trace,,,
FHWA-HRT-17-060,Christchurch 14-m CFA pile post-blast,,m,kips,258.3928024502297,,,,0.13,fhwa_p10.png,1.625,published measured trace,,,
FHWA-HRT-17-060,Christchurch 14-m CFA pile post-blast,,m,kips,252.81316998468606,,,,0.13999999999999999,fhwa_p10.png,1.7499999999999998,published measured trace,,,
FHWA-HRT-17-060,Christchurch 14-m CFA pile post-blast,,m,kips,247.06355283307815,,,,0.15,fhwa_p10.png,1.875,published measured trace,,,
FHWA-HRT-17-060,Christchurch 14-m CFA pile post-blast,,m,kips,241.31393568147013,,,,0.15999999999999998,fhwa_p10.png,1.9999999999999998,published measured trace,,,
FHWA-HRT-17-060,Christchurch 14-m CFA pile post-blast,,m,kips,237.20673813169995,,,,0.16999999999999996,fhwa_p10.png,2.1249999999999996,published measured trace,,,
FHWA-HRT-17-060,Christchurch 14-m CFA pile post-blast,,m,kips,229.85604900459413,,,,0.18000000000000005,fhwa_p10.png,2.2500000000000004,published measured trace,,,
FHWA-HRT-17-060,Christchurch 14-m CFA pile post-blast,,m,kips,224.38208269525268,,,,0.19000000000000006,fhwa_p10.png,2.375000000000001,published measured trace,,,
FHWA-HRT-17-060,Christchurch 14-m CFA pile post-blast,,m,kips,218.4532924961715,,,,0.20000000000000004,fhwa_p10.png,2.5000000000000004,published measured trace,,,
FHWA-HRT-17-060,Christchurch 14-m CFA pile post-blast,,m,kips,218.68300153139356,,,,0.21000000000000002,fhwa_p10.png,2.6250000000000004,published measured trace,,,
FHWA-HRT-17-060,Christchurch 14-m CFA pile post-blast,,m,kips,220.11179173047478,,,,0.22000000000000003,fhwa_p10.png,2.7500000000000004,published measured trace,,,
FHWA-HRT-17-060,Christchurch 14-m CFA pile post-blast,,m,kips,221.95176110260337,,,,0.23,fhwa_p10.png,2.875,published measured trace,,,
FHWA-HRT-17-060,Christchurch 14-m CFA pile post-blast,,m,kips,223.3874425727412,,,,0.24000000000000002,fhwa_p10.png,3.0000000000000004,published measured trace,,,
FHWA-HRT-17-060,Christchurch 14-m CFA pile post-blast,,m,kips,225.11485451761104,,,,0.25,fhwa_p10.png,3.125,published measured trace,,,
FHWA-HRT-17-060,Christchurch 14-m CFA pile post-blast,,m,kips,226.78254211332316,,,,0.26,fhwa_p10.png,3.25,published measured trace,,,
FHWA-HRT-17-060,Christchurch 14-m CFA pile post-blast,,m,kips,229.3116385911179,,,,0.26999999999999996,fhwa_p10.png,3.3749999999999996,published measured trace,,,
FHWA-HRT-17-060,Christchurch 14-m CFA pile post-blast,,m,kips,229.874425727412,,,,0.27999999999999997,fhwa_p10.png,3.4999999999999996,published measured trace,,,
FHWA-HRT-17-060,Christchurch 14-m CFA pile post-blast,,m,kips,230.79785604900454,,,,0.29,fhwa_p10.png,3.6249999999999996,published measured trace,,,
FHWA-HRT-17-060,Christchurch 14-m CFA pile post-blast,,m,kips,233.3843797856049,,,,0.3,fhwa_p10.png,3.75,published measured trace,,,
FHWA-HRT-17-060,Christchurch 14-m CFA pile post-blast,,m,kips,234.99234303215925,,,,0.30999999999999994,fhwa_p10.png,3.874999999999999,published measured trace,,,
FHWA-HRT-17-060,Christchurch 14-m CFA pile post-blast,,m,kips,234.238897396631,,,,0.31999999999999995,fhwa_p10.png,3.9999999999999996,published measured trace,,,
FHWA-HRT-17-060,Christchurch 14-m CFA pile post-blast,,m,kips,231.39509954058198,,,,0.32999999999999996,fhwa_p10.png,4.124999999999999,published measured trace,,,
FHWA-HRT-17-060,Christchurch 14-m CFA pile post-blast,,m,kips,228.6339969372129,,,,0.3399999999999999,fhwa_p10.png,4.249999999999999,published measured trace,,,
FHWA-HRT-17-060,Christchurch 14-m CFA pile post-blast,,m,kips,225.87289433384385,,,,0.3499999999999999,fhwa_p10.png,4.374999999999999,published measured trace,,,
