case,evidence_class,layout_family,interpolator,layout_source,additional_stations_b,total_retained_stations,candidate_requested_depths,candidate_realised_depths,candidate_unique_levels,uniform_requested_depths,uniform_realised_depths,uniform_unique_levels,candidate_nrmse,uniform_nrmse,delta_nrmse,candidate_retains_deepest_level
Turrell H-pile post-blast,marked driven-pile profile,original,pchip,SKS03,4,5,0.000;0.143;0.571;0.857;1.000,0.000;0.188;0.647;0.847;1.000,5,0.000;0.250;0.500;0.750;1.000,0.000;0.294;0.424;0.729;1.000,5,0.01364621478323425,0.052061606946233796,-0.038415392162999544,1
Turrell H-pile post-blast,marked driven-pile profile,boundary_constrained,linear,SKS03,4,5,0.000;0.143;0.571;0.857;1.000,0.000;0.188;0.647;0.847;1.000,5,0.000;0.250;0.500;0.750;1.000,0.000;0.294;0.424;0.729;1.000,5,0.022250581037167337,0.03023675315950004,-0.007986172122332703,1
Turrell H-pile post-blast,marked driven-pile profile,boundary_constrained,pchip,SKS03,4,5,0.000;0.143;0.571;0.857;1.000,0.000;0.188;0.647;0.847;1.000,5,0.000;0.250;0.500;0.750;1.000,0.000;0.294;0.424;0.729;1.000,5,0.01364621478323425,0.052061606946233796,-0.038415392162999544,1
Turrell pipe pile post-blast,marked driven-pile profile,original,linear,SKS02,2,3,0.000;0.143;0.429,0.000;0.053;0.526,3,0.000;0.500;1.000,0.000;0.526;1.000,3,0.11181441043566513,0.10618979572475366,0.005624614710911469,0
Turrell pipe pile post-blast,marked driven-pile profile,original,pchip,SKS02,2,3,0.000;0.143;0.429,0.000;0.053;0.526,3,0.000;0.500;1.000,0.000;0.526;1.000,3,0.1101548281189145,0.07049115828677258,0.03966366983214192,0
Turrell pipe pile post-blast,marked driven-pile profile,boundary_constrained,linear,SKS02,2,3,0.000;0.143;1.000,0.000;0.053;1.000,3,0.000;0.500;1.000,0.000;0.526;1.000,3,0.21838127262331314,0.10618979572475366,0.11219147689855948,1
Turrell pipe pile post-blast,marked driven-pile profile,boundary_constrained,pchip,SKS02,2,3,0.000;0.143;1.000,0.000;0.053;1.000,3,0.000;0.500;1.000,0.000;0.526;1.000,3,0.2173409407428273,0.07049115828677258,0.14684978245605473,1
Turrell pipe pile post-blast,marked driven-pile profile,original,linear,SKS03,2,3,0.000;0.143;0.714,0.000;0.053;0.684,3,0.000;0.500;1.000,0.000;0.526;1.000,3,0.1207479213602399,0.10618979572475366,0.014558125635486238,0
Turrell pipe pile post-blast,marked driven-pile profile,original,pchip,SKS03,2,3,0.000;0.143;0.714,0.000;0.053;0.684,3,0.000;0.500;1.000,0.000;0.526;1.000,3,0.11603997205341811,0.07049115828677258,0.04554881376664553,0
Turrell pipe pile post-blast,marked driven-pile profile,boundary_constrained,linear,SKS03,2,3,0.000;0.143;1.000,0.000;0.053;1.000,3,0.000;0.500;1.000,0.000;0.526;1.000,3,0.21838127262331314,0.10618979572475366,0.11219147689855948,1
Turrell pipe pile post-blast,marked driven-pile profile,boundary_constrained,pchip,SKS03,2,3,0.000;0.143;1.000,0.000;0.053;1.000,3,0.000;0.500;1.000,0.000;0.526;1.000,3,0.2173409407428273,0.07049115828677258,0.14684978245605473,1
Turrell pipe pile post-blast,marked driven-pile profile,original,linear,SKS02,3,4,0.000;0.143;0.714;0.857,0.000;0.053;0.684;0.789,4,0.000;0.333;0.667;1.000,0.000;0.263;0.684;1.000,4,0.14344156712491796,0.06512291752897496,0.078318649595943,0
Turrell pipe pile post-blast,marked driven-pile profile,original,pchip,SKS02,3,4,0.000;0.143;0.714;0.857,0.000;0.053;0.684;0.789,4,0.000;0.333;0.667;1.000,0.000;0.263;0.684;1.000,4,0.14197579779865108,0.04278261060044768,0.09919318719820339,0
Turrell pipe pile post-blast,marked driven-pile profile,boundary_constrained,linear,SKS02,3,4,0.000;0.143;0.429;1.000,0.000;0.053;0.526;1.000,4,0.000;0.333;0.667;1.000,0.000;0.263;0.684;1.000,4,0.10432684583734707,0.06512291752897496,0.039203928308372105,1
Turrell pipe pile post-blast,marked driven-pile profile,boundary_constrained,pchip,SKS02,3,4,0.000;0.143;0.429;1.000,0.000;0.053;0.526;1.000,4,0.000;0.333;0.667;1.000,0.000;0.263;0.684;1.000,4,0.0700881595025177,0.04278261060044768,0.027305548902070022,1
Turrell pipe pile post-blast,marked driven-pile profile,original,linear,SKS03,3,4,0.000;0.143;0.429;1.000,0.000;0.053;0.526;1.000,4,0.000;0.333;0.667;1.000,0.000;0.263;0.684;1.000,4,0.10432684583734707,0.06512291752897496,0.039203928308372105,1
Turrell pipe pile post-blast,marked driven-pile profile,original,pchip,SKS03,3,4,0.000;0.143;0.429;1.000,0.000;0.053;0.526;1.000,4,0.000;0.333;0.667;1.000,0.000;0.263;0.684;1.000,4,0.0700881595025177,0.04278261060044768,0.027305548902070022,1
Turrell pipe pile post-blast,marked driven-pile profile,boundary_constrained,linear,SKS03,3,4,0.000;0.143;0.429;1.000,0.000;0.053;0.526;1.000,4,0.000;0.333;0.667;1.000,0.000;0.263;0.684;1.000,4,0.10432684583734707,0.06512291752897496,0.039203928308372105,1
Turrell pipe pile post-blast,marked driven-pile profile,boundary_constrained,pchip,SKS03,3,4,0.000;0.143;0.429;1.000,0.000;0.053;0.526;1.000,4,0.000;0.333;0.667;1.000,0.000;0.263;0.684;1.000,4,0.0700881595025177,0.04278261060044768,0.027305548902070022,1
Turrell pipe pile post-blast,marked driven-pile profile,original,linear,SKS02,4,5,0.000;0.143;0.714;0.857;1.000,0.000;0.053;0.684;0.789;1.000,5,0.000;0.250;0.500;0.750;1.000,0.000;0.263;0.526;0.789;1.000,5,0.03459468804814682,0.013871109574374147,0.020723578473772673,1
Turrell pipe pile post-blast,marked driven-pile profile,original,pchip,SKS02,4,5,0.000;0.143;0.714;0.857;1.000,0.000;0.053;0.684;0.789;1.000,5,0.000;0.250;0.500;0.750;1.000,0.000;0.263;0.526;0.789;1.000,5,0.027900473516764904,0.01788571717235816,0.010014756344406742,1
Turrell pipe pile post-blast,marked driven-pile profile,boundary_constrained,linear,SKS02,4,5,0.000;0.143;0.714;0.857;1.000,0.000;0.053;0.684;0.789;1.000,5,0.000;0.250;0.500;0.750;1.000,0.000;0.263;0.526;0.789;1.000,5,0.03459468804814682,0.013871109574374147,0.020723578473772673,1
Turrell pipe pile post-blast,marked driven-pile profile,boundary_constrained,pchip,SKS02,4,5,0.000;0.143;0.714;0.857;1.000,0.000;0.053;0.684;0.789;1.000,5,0.000;0.250;0.500;0.750;1.000,0.000;0.263;0.526;0.789;1.000,5,0.027900473516764904,0.01788571717235816,0.010014756344406742,1
Turrell pipe pile post-blast,marked driven-pile profile,original,linear,SKS03,4,5,0.000;0.143;0.571;0.857;1.000,0.000;0.053;0.526;0.789;1.000,5,0.000;0.250;0.500;0.750;1.000,0.000;0.263;0.526;0.789;1.000,5,0.022983353186197576,0.013871109574374147,0.00911224361182343,1
Turrell pipe pile post-blast,marked driven-pile profile,original,pchip,SKS03,4,5,0.000;0.143;0.571;0.857;1.000,0.000;0.053;0.526;0.789;1.000,5,0.000;0.250;0.500;0.750;1.000,0.000;0.263;0.526;0.789;1.000,5,0.020551352310242556,0.01788571717235816,0.0026656351378843944,1
Turrell pipe pile post-blast,marked driven-pile profile,boundary_constrained,linear,SKS03,4,5,0.000;0.143;0.571;0.857;1.000,0.000;0.053;0.526;0.789;1.000,5,0.000;0.250;0.500;0.750;1.000,0.000;0.263;0.526;0.789;1.000,5,0.022983353186197576,0.013871109574374147,0.00911224361182343,1
Turrell pipe pile post-blast,marked driven-pile profile,boundary_constrained,pchip,SKS03,4,5,0.000;0.143;0.571;0.857;1.000,0.000;0.053;0.526;0.789;1.000,5,0.000;0.250;0.500;0.750;1.000,0.000;0.263;0.526;0.789;1.000,5,0.020551352310242556,0.01788571717235816,0.0026656351378843944,1
