reference_pitch_m,boundary_rule,interpolator,layout_source,additional_stations_b,pile,stages,median_paired_delta,median_candidate_nrmse,median_uniform_nrmse,median_distance_weighted_delta,median_outside_sse_fraction,median_delta_squared_error_inside,median_delta_squared_error_outside
0.4,boundary_constrained,linear,SKS02,3,T2,8,0.023993853329056587,0.055270387895374376,0.034463410553441126,0.02211843366671723,0.0,0.0021221968462358286,0.0
0.4,boundary_constrained,linear,SKS02,3,T3,6,0.007543216914388442,0.04481823795046448,0.03561945129993746,0.007596142336646728,0.0,0.0006639525531958521,0.0
0.4,boundary_constrained,linear,SKS02,4,F1,12,0.007455579094344578,0.05097023593975736,0.044319902763704566,0.005864641678095632,0.0,0.0006809787930584473,0.0
0.4,boundary_constrained,linear,SKS02,4,F2,12,-0.013849830155273909,0.04067396097090992,0.05444779227792792,-0.01806460758041067,0.0,-0.0013011207793921465,0.0
0.4,boundary_constrained,linear,SKS02,4,T1,15,-0.0036253102709339208,0.04614733772240203,0.051248104983403764,-0.005744783153367343,0.0,-0.00034773970940310024,0.0
0.4,boundary_constrained,linear,SKS02,4,T2,8,0.006405218139529829,0.029910659679802415,0.024311242879697034,0.004757008136055067,0.0,0.0003300524796646022,0.0
0.4,boundary_constrained,linear,SKS02,4,T3,6,0.014643607826217129,0.048551717447213844,0.033736683106465604,0.014758463112405858,0.0,0.0012038346638001977,0.0
0.4,boundary_constrained,linear,SKS03,2,F1,12,0.013340706533008485,0.05525236924076716,0.042816373734656146,0.012388848309925746,0.0,0.0012987840772798113,0.0
0.4,boundary_constrained,linear,SKS03,2,F2,12,0.004881034317371802,0.05213629554913003,0.049868903764950095,0.001851865663679536,0.0,0.0004980590554399423,0.0
0.4,boundary_constrained,linear,SKS03,2,T1,15,0.08219295870549706,0.1849861324737669,0.10146716635477782,0.07580527410860224,0.0,0.023337363871052598,0.0
0.4,boundary_constrained,linear,SKS03,2,T2,8,0.06525293744920044,0.11540459042883397,0.04847482819629678,0.061309509832684975,0.0,0.01078849703807003,0.0
0.4,boundary_constrained,linear,SKS03,2,T3,6,0.024264248829683432,0.06388777030153442,0.04376984486436447,0.02445355937156955,0.0,0.002762678198126008,0.0
