test,training_events,evaluation_event,additional_stations_b,strategy,piles_aggregated,selected_gage_indices_top_to_bottom,selected_normalised_depths,candidate_event_p90_nrmse,uniform_event_p90_nrmse,candidate_minus_uniform
SKS03,PRJ4809,EQM_4,3,static_PRJ4809,2,0;3;6;7,0.000;0.429;0.857;1.000,0.21093893643758277,0.15196508764937477,0.058973848788207994
SKS03,EQM_1,EQM_5,3,first_event_frozen,2,0;1;4;7,0.000;0.143;0.571;1.000,0.06507769362975135,0.1796036112307211,-0.11452591760096975
SKS03,EQM_1;EQM_2;EQM_3;EQM_4,EQM_5,3,expanding_history,2,0;1;3;7,0.000;0.143;0.429;1.000,0.06951439772267128,0.1796036112307211,-0.11008921350804983
SKS03,PRJ4809,EQM_5,3,static_PRJ4809,2,0;3;6;7,0.000;0.429;0.857;1.000,0.20576831133072548,0.1796036112307211,0.02616470010000438
SKS03,EQM_1,EQM_2,4,first_event_frozen,2,0;1;3;6;7,0.000;0.143;0.429;0.857;1.000,0.05145283366310156,0.13921685913470258,-0.08776402547160102
SKS03,EQM_1,EQM_2,4,expanding_history,2,0;1;3;6;7,0.000;0.143;0.429;0.857;1.000,0.05145283366310156,0.13921685913470258,-0.08776402547160102
SKS03,PRJ4809,EQM_2,4,static_PRJ4809,2,0;3;4;6;7,0.000;0.429;0.571;0.857;1.000,0.17891418080328297,0.13921685913470258,0.03969732166858039
SKS03,EQM_1,EQM_3,4,first_event_frozen,2,0;1;3;6;7,0.000;0.143;0.429;0.857;1.000,0.07887669199166598,0.14777917460571127,-0.06890248261404529
SKS03,EQM_1;EQM_2,EQM_3,4,expanding_history,2,0;1;3;5;7,0.000;0.143;0.429;0.714;1.000,0.064906159775673,0.14777917460571127,-0.08287301483003827
SKS03,PRJ4809,EQM_3,4,static_PRJ4809,2,0;3;4;6;7,0.000;0.429;0.571;0.857;1.000,0.18626424982683146,0.14777917460571127,0.038485075221120185
SKS03,EQM_1,EQM_4,4,first_event_frozen,2,0;1;3;6;7,0.000;0.143;0.429;0.857;1.000,0.03702548888863346,0.15240787929292038,-0.11538239040428691
SKS03,EQM_1;EQM_2;EQM_3,EQM_4,4,expanding_history,2,0;1;4;6;7,0.000;0.143;0.571;0.857;1.000,0.038052162925671276,0.15240787929292038,-0.1143557163672491
SKS03,PRJ4809,EQM_4,4,static_PRJ4809,2,0;3;4;6;7,0.000;0.429;0.571;0.857;1.000,0.2079388828510235,0.15240787929292038,0.055531003558103115
SKS03,EQM_1,EQM_5,4,first_event_frozen,2,0;1;3;6;7,0.000;0.143;0.429;0.857;1.000,0.03935362456319785,0.15512376549958892,-0.11577014093639107
SKS03,EQM_1;EQM_2;EQM_3;EQM_4,EQM_5,4,expanding_history,2,0;1;4;6;7,0.000;0.143;0.571;0.857;1.000,0.0434203659003935,0.15512376549958892,-0.11170339959919542
SKS03,PRJ4809,EQM_5,4,static_PRJ4809,2,0;3;4;6;7,0.000;0.429;0.571;0.857;1.000,0.20537489285700283,0.15512376549958892,0.05025112735741391
