test,event,pile,layout,additional_stations_b,snapshots,cluster_median_nrmse,cluster_p90_nrmse,cluster_median_mae_mn,cluster_p90_peak_load_relative_error,cluster_p90_peak_depth_error_z_over_l
SKS02,EQM_3,1,trained_SKS03_applied_all_4,4,120,0.2503687079424207,0.2902260308125363,0.11646309289661899,0.0,0.0
SKS02,EQM_3,1,trained_SKS03_applied_all_5,5,120,0.23730203522808632,0.2799446960264155,0.08660758899544863,0.0,0.0
SKS02,EQM_3,1,uniform_2,2,120,0.2307489500487946,0.27052707643452617,0.15016296570221063,0.3085632797675801,0.2857142857142857
SKS02,EQM_3,1,uniform_3,3,120,0.2557494255794997,0.29338178586596436,0.13944151901820548,0.37952419989380215,0.5714285714285714
SKS02,EQM_3,1,uniform_4,4,120,0.22593883279540433,0.25562670934049864,0.1131589535923277,0.3085632797675801,0.2857142857142857
SKS02,EQM_3,1,uniform_5,5,120,0.23730203522808632,0.2799446960264155,0.08660758899544863,0.0,0.0
SKS02,EQM_3,2,pooled_robust_2,2,120,0.20680518824182662,0.2106577386219689,0.18432152597402593,0.5205749567144393,0.42857142857142855
SKS02,EQM_3,2,pooled_robust_3,3,120,0.14622642020551385,0.14702173225712425,0.11050900649350645,0.0,0.0
SKS02,EQM_3,2,pooled_robust_4,4,120,0.0403429565145641,0.04130906089138433,0.036556483766233744,0.0,0.0
SKS02,EQM_3,2,pooled_robust_5,5,120,0.022234355155529996,0.022807964074096722,0.016480193181818176,0.0,0.0
SKS02,EQM_3,2,static_transfer_2,2,120,0.12237565088675562,0.14895483581396596,0.13310541558441555,0.0,0.0
SKS02,EQM_3,2,static_transfer_3,3,120,0.05155290255878833,0.07433136255097432,0.04495908658008654,0.0,0.0
SKS02,EQM_3,2,static_transfer_4,4,120,0.03116197265260926,0.04628716233790285,0.02366022862554111,0.0,0.0
SKS02,EQM_3,2,static_transfer_5,5,120,0.030549997500077596,0.0447153452252252,0.020717040584415557,0.0,0.0
SKS02,EQM_3,2,trained_SKS02_applied_all_2,2,120,0.20680518824182662,0.2106577386219689,0.18432152597402593,0.5205749567144393,0.42857142857142855
SKS02,EQM_3,2,trained_SKS02_applied_all_3,3,120,0.14622642020551385,0.14702173225712425,0.11050900649350645,0.0,0.0
SKS02,EQM_3,2,trained_SKS02_applied_all_4,4,120,0.0403429565145641,0.04130906089138433,0.036556483766233744,0.0,0.0
SKS02,EQM_3,2,trained_SKS02_applied_all_5,5,120,0.022234355155529996,0.022807964074096722,0.016480193181818176,0.0,0.0
SKS02,EQM_3,2,trained_SKS03_applied_all_2,2,120,0.11669232710429905,0.12972050811719,0.11050900649350645,0.34628182650325307,0.1428571428571429
SKS02,EQM_3,2,trained_SKS03_applied_all_3,3,120,0.16415089263255517,0.16640269437959004,0.12829067775974023,0.4003901056633682,0.1428571428571429
SKS02,EQM_3,2,trained_SKS03_applied_all_4,4,120,0.036186226458491906,0.04792645414776651,0.03148230438311687,0.0,0.0
SKS02,EQM_3,2,trained_SKS03_applied_all_5,5,120,0.030549997500077596,0.0447153452252252,0.020717040584415557,0.0,0.0
SKS02,EQM_3,2,uniform_2,2,120,0.15090336532722587,0.15143051724135162,0.11449756980519478,0.4003901056633682,0.1428571428571429
SKS02,EQM_3,2,uniform_3,3,120,0.1233086873455547,0.13391459518744772,0.08270117938311691,0.3469171177600585,0.1428571428571429
SKS02,EQM_3,2,uniform_4,4,120,0.1224579292734592,0.13318655058913953,0.07400301948051947,0.34628182650325307,0.1428571428571429
SKS02,EQM_3,2,uniform_5,5,120,0.030549997500077596,0.0447153452252252,0.020717040584415557,0.0,0.0
SKS02,EQM_4,1,pooled_robust_2,2,120,0.19509467762098132,0.19680190981421208,0.12897237808842654,0.17774823737435252,0.7142857142857142
SKS02,EQM_4,1,pooled_robust_3,3,120,0.17275754269234556,0.17653358078352302,0.09001433883289989,0.0,0.0
SKS02,EQM_4,1,pooled_robust_4,4,120,0.034065498412890145,0.035610991242133495,0.021255819245773744,0.0,0.0
SKS02,EQM_4,1,pooled_robust_5,5,120,0.03328734941390114,0.03370679792144513,0.01883963616168184,0.0,0.0
SKS02,EQM_4,1,static_transfer_2,2,120,0.30753691629401936,0.3130381536172252,0.2507717469928479,0.0,0.0
SKS02,EQM_4,1,static_transfer_3,3,120,0.3061165499143207,0.3117522293208598,0.2370602552015605,0.0,0.0
SKS02,EQM_4,1,static_transfer_4,4,120,0.26872465845989013,0.27265855374056713,0.1866109736671001,0.0,0.0
SKS02,EQM_4,1,static_transfer_5,5,120,0.15945443743883736,0.16314196246669807,0.0777854014954486,0.0,0.0
SKS02,EQM_4,1,trained_SKS02_applied_all_2,2,120,0.19509467762098132,0.19680190981421208,0.12897237808842654,0.17774823737435252,0.7142857142857142
SKS02,EQM_4,1,trained_SKS02_applied_all_3,3,120,0.17275754269234556,0.17653358078352302,0.09001433883289989,0.0,0.0
SKS02,EQM_4,1,trained_SKS02_applied_all_4,4,120,0.034065498412890145,0.035610991242133495,0.021255819245773744,0.0,0.0
SKS02,EQM_4,1,trained_SKS02_applied_all_5,5,120,0.03328734941390114,0.03370679792144513,0.01883963616168184,0.0,0.0
SKS02,EQM_4,1,trained_SKS03_applied_all_2,2,120,0.2692834498797929,0.27345620804163984,0.15814800715214566,0.17774823737435252,0.7142857142857142
SKS02,EQM_4,1,trained_SKS03_applied_all_3,3,120,0.19444081826725662,0.19834013513986803,0.12815853502925878,0.17774823737435252,0.7142857142857142
